country,country_code_2_digit,country_code_3_digit,population,source,reported_date,confirmed cases_count,deaths_count
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-09-15,6,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-01-16,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-02-16,0,0
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-07-18,231,11
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-02-06,0,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-01-20,0,0
Russia,RU,RUS,145934460,"Epidemic intelligence, national daily data",2020-08-23,4921,121
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-04-10,370,15
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-01-09,0,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-05-25,0,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-04-01,1,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-09-12,1,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-04-18,0,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-10-10,0,0
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-02-09,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-06-07,0,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-06-20,320,11
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-06-30,23,0
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-05-15,10,1
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-02-29,0,0
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-05-09,65,5
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-03-30,4751,66
Albania,AL,ALB,2862427,"Epidemic intelligence, national daily data",2020-05-02,9,0
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-06-02,18,1
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-01-28,1,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-01-02,0,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-09-01,502,6
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-05-25,954,5
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-07-06,75,0
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-10-23,161,1
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-03-27,14,1
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-07-14,0,0
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-02-11,0,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-04-08,1,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-10-05,571,5
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-01-05,0,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-01-22,0,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-06-11,427,0
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-04-19,44,1
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-08-10,120,0
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-05-02,153,10
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-07-09,7,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-05-07,78,5
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-03-28,6,0
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-03-01,0,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-04-22,5,3
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-03-22,9,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-09-30,3627,69
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-05-31,0,0
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-07-29,0,0
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-06-03,3,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-01-24,0,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-07-29,502,6
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-06-23,3,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-03-05,2,0
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-04-19,13,4
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-09-14,71,7
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-09-30,1470,44
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-06-24,1268,27
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-09-08,36,1
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-05-15,37,6
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-01-14,0,0
Montenegro,ME,MNE,622182,"Epidemic intelligence, national daily data",2020-01-14,0,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-04-26,41,2
Norway,NO,NOR,5328212,"Epidemic intelligence, national daily data",2020-03-16,170,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-05-30,0,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-07-25,0,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-04-17,2641,753
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-07-10,0,0
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-07-28,135,2
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-04-18,5292,913
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-10-04,963,12
Slovenia,SI,SVN,2080908,"Epidemic intelligence, national daily data",2020-05-15,1,0
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-02-01,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-01-05,0,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-04-23,7,1
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-08-16,196,3
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-01-09,0,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-04-01,293,25
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-03-23,573,43
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-04-15,5497,762
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-09-21,1,0
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-01-11,0,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-02-10,0,0
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-06-09,6,4
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-07-12,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-07-20,90,1
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-02-23,0,0
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-01-15,0,0
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-05-28,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-07-17,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-09-18,941,6
Finland,FI,FIN,5517919,"Epidemic intelligence, national daily data",2020-02-05,0,0
Faroes,,FRO,48865,"Epidemic intelligence, national daily data",2020-02-04,0,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-06-08,46,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-07-14,12,0
Portugal,PT,PRT,10276617,"Epidemic intelligence, national daily data",2020-01-10,0,0
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-05-24,147,5
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-01-09,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-01-07,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-08-28,0,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-10-20,5469,113
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-03-03,0,0
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-05-23,0,0
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-05-07,3,0
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-08-26,15,1
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-01-17,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-01-28,0,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-09-02,8,0
Bosnia and Herzegovina,BA,BIH,3280815,"Epidemic intelligence, national daily data",2020-05-11,25,6
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-06-21,264,49
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-09-25,1721,74
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-04-15,9,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-04-05,244,8
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-09-09,2460,32
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-04-27,8,3
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-03-28,22,1
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-03-04,466,28
Azerbaijan,AZ,AZE,10139175,"Epidemic intelligence, national daily data",2020-08-20,146,1
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-09-04,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-09-25,0,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-09-05,2723,13
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-02-26,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-02-22,0,0
Netherlands,NL,NLD,17282163,"Epidemic intelligence, national daily data",2020-09-26,2776,16
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-08-30,158,0
Austria,AT,AUT,8858775,"Epidemic intelligence, national daily data",2020-10-06,1268,5
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-08-02,0,0
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-10-01,72,0
Estonia,EE,EST,1324820,"Epidemic intelligence, national daily data",2020-08-06,22,0
Moldova,MD,MDA,4033963,"Epidemic intelligence, national daily data",2020-05-22,151,5
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-06-16,301,26
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-04-16,9,0
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-01-20,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-04-13,89,9
the Holy See/ Vatican City State,VA,VAT,809,"Epidemic intelligence, national daily data",2020-02-14,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-09-02,499,1
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-03-27,170,2
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-03-27,22,0
Norway,NO,NOR,5328212,"Epidemic intelligence, national daily data",2020-10-07,147,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-02-05,1,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-03-08,0,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-09-17,0,0
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-08-19,115,0
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-06-15,192,4
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-04-07,18,2
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-07-09,0,0
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-02-29,10,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-04-25,2506,378
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-03-22,1847,112
Slovakia,SK,SVK,5450421,"Epidemic intelligence, national daily data",2020-10-21,705,6
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-03-01,0,0
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-05-01,586,87
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-09-15,6158,34
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-09-22,808,23
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-09-21,31428,168
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-10-01,33,0
Sweden,SE,SWE,10230185,"Epidemic intelligence, national daily data",2020-09-22,266,2
Cyprus,CY,CYP,875899,"Epidemic intelligence, national daily data",2020-01-07,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-26,44,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-10-17,0,0
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-05-23,0,0
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-10-06,0,0
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-09-20,86,2
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-05-26,4,1
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-03-18,51,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-08-01,657,7
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-05-30,12,0
Denmark,DK,DNK,5806081,"Epidemic intelligence, national daily data",2020-03-25,131,8
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-06-05,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-07-10,0,0
Russia,RU,RUS,145934460,"Epidemic intelligence, national daily data",2020-04-26,5966,66
Malta,MT,MLT,493559,"Epidemic intelligence, national daily data",2020-02-14,0,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-06-18,2,0
Romania,RO,ROU,19414458,"Epidemic intelligence, national daily data",2020-03-31,192,4
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-02-18,0,0
Germany,DE,DEU,83019213,"Epidemic intelligence, national daily data",2020-09-08,1499,4
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-03-13,3,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-08-06,4088,1
Bulgaria,BG,BGR,7000039,"Epidemic intelligence, national daily data",2020-01-05,0,0
Norway,NO,NOR,5328212,"Epidemic intelligence, national daily data",2020-04-08,108,10
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-06-02,1,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-10-23,21238,189
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-03-30,2,1
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-02-23,0,0
Ireland,IE,IRL,4904240,"Epidemic intelligence, national daily data",2020-10-18,1251,8
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-05-27,46,0
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-02-24,0,0
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-02-22,0,0
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-06-20,0,47
Kosovo,,RKS,1798506,"Epidemic intelligence, national daily data",2020-02-12,0,0
United Kingdom,UK,GBR,66647112,"Epidemic intelligence, national daily data",2020-09-05,1940,10
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-01-12,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-31,45,0
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-02-17,0,0
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-07-06,0,0
Spain,ES,ESP,46937060,"Epidemic intelligence, national daily data",2020-04-05,5533,809
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-05-02,9,6
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-10-14,5,0
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-05-01,285,6
Italy,IT,ITA,60359546,"Epidemic intelligence, national daily data",2020-09-29,1494,16
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-09-10,0,0
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-05-05,313,20
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-01-29,0,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-06-07,125,2
Liechtenstein,LI,LIE,38378,"Epidemic intelligence, national daily data",2020-03-23,10,0
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-04-18,36,3
Russia,RU,RUS,145934460,"Epidemic intelligence, national daily data",2020-06-18,7843,194
Latvia,LV,LVA,1919968,"Epidemic intelligence, national daily data",2020-04-30,13,2
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-02-14,0,0
Andorra,AD,AND,76177,"Epidemic intelligence, national daily data",2020-06-19,1,0
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-01-18,0,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-09-29,851,8
France,FR,FRA,67012883,"Epidemic intelligence, national daily data",2020-08-11,4854,16
North Macedonia,MK,MKD,2077132,"Epidemic intelligence, national daily data",2020-01-09,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-09-28,46,0
Monaco,MC,MCO,33085,"Epidemic intelligence, national daily data",2020-03-26,0,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-10-04,0,0
Czechia,CZ,CZE,10649800,"Epidemic intelligence, national daily data",2020-08-28,349,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-07-01,0,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-07-24,451,4
the Holy See/ Vatican City State,VA,VAT,809,"Epidemic intelligence, national daily data",2020-10-07,0,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-01-17,0,0
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-08-18,0,0
Belarus,BY,BLR,9449321,"Epidemic intelligence, national daily data",2020-03-17,9,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-10-08,117,2
Ukraine,UA,UKR,43733759,"Epidemic intelligence, national daily data",2020-03-09,0,0
San Marino,SM,SMR,34453,"Epidemic intelligence, national daily data",2020-05-20,1,0
Russia,RU,RUS,145934460,"Epidemic intelligence, national daily data",2020-01-08,0,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-10-25,4527,35
Guernsey,GG,GGY,64468,"Epidemic intelligence, national daily data",2020-04-02,18,0
Iceland,IS,ISL,356991,"Epidemic intelligence, national daily data",2020-03-13,32,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-08-17,0,0
Lithuania,LT,LTU,2794184,"Epidemic intelligence, national daily data",2020-07-03,7,0
Luxembourg,LU,LUX,613894,"Epidemic intelligence, national daily data",2020-08-23,0,0
Armenia,AM,ARM,2963234,"Epidemic intelligence, national daily data",2020-03-04,0,0
Turkey,TR,TUR,82003882,"Epidemic intelligence, national daily data",2020-08-19,1263,20
Poland,PL,POL,37972812,"Epidemic intelligence, national daily data",2020-10-10,4739,52
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-02-17,0,0
Jersey,JE,JEY,107796,"Epidemic intelligence, national daily data",2020-06-28,0,0
Belgium,BE,BEL,11455519,"Epidemic intelligence, national daily data",2020-08-18,707,7
Gibraltar,GI,GIB,33691,"Epidemic intelligence, national daily data",2020-03-05,0,0
Georgia,GE,GEO,3989175,"Epidemic intelligence, national daily data",2020-07-07,5,0
Hungary,HU,HUN,9772756,"Epidemic intelligence, national daily data",2020-03-19,23,0
Croatia,HR,HRV,4076246,"Epidemic intelligence, national daily data",2020-05-26,0,1
Greece,EL,GRC,10724599,"Epidemic intelligence, national daily data",2020-02-11,0,0
Switzerland,CH,CHE,8544527,"Epidemic intelligence, national daily data",2020-09-19,487,2
Serbia,RS,SRB,6963764,"Epidemic intelligence, national daily data",2020-07-12,345,12
Isle of Man,,IMN,85032,"Epidemic intelligence, national daily data",2020-06-06,0,0
the Holy See/ Vatican City State,VA,VAT,809,"Epidemic intelligence, national daily data",2020-06-06,0,0
